sp_cat,sp_key,scientific_name_dataset,common_name_dataset,worms_id,gbif_id,redlist_code,rl_score,suitability,suit_rl,pct_total
other,SLB-61615,Acropora danai,Pacific elkhorn coral,207083,NA,NA,NA,30.444723324772355,NA,NA
other,W-Scl-288202,Acropora exquisita,NA,288202,NA,DD,NA,20.311541565778853,NA,NA
other,SLB-93427,Acropora inermis,NA,207046,NA,DD,NA,32.16164791528789,NA,NA
other,SLB-61646,Acropora insignis,NA,207040,NA,DD,NA,15.620045443069932,NA,NA
other,SLB-61668,Acropora mirabilis,NA,288224,NA,DD,NA,30.33404653650709,NA,NA
other,SLB-61684,Acropora parilis,purple acropora coral,207006,NA,DD,NA,16.948383591415375,NA,NA
other,W-Scl-288235,Acropora prolifera,fused staghorn coral,288235,NA,NA,NA,48.51807628524046,NA,NA
other,SLB-93516,Acropora prostrata,NA,207023,NA,DD,NA,25.881681567433898,NA,NA
other,SLB-61695,Acropora rambleri,NA,430655,NA,DD,NA,21.81849959666577,NA,NA
other,SLB-61699,Acropora rosaria,ponape rainbow acro,207074,NA,DD,NA,19.147990333248536,NA,NA
other,SLB-61723,Acropora teres,NA,288255,NA,DD,NA,22.889250390421655,NA,NA
mollusk,W-Msc-381166,Acrosterigma cygnorum,NA,381166,NA,NA,NA,3.803448275862069,NA,NA
mollusk,W-Msc-345687,Acrosterigma dianthinum,NA,345687,NA,NA,NA,21.030465949820787,NA,NA
mollusk,W-Msc-381186,Acrosterigma impolitum,NA,381186,NA,NA,NA,28.818443804034583,NA,NA
mollusk,W-Msc-345689,Acrosterigma maculosum,NA,345689,NA,NA,NA,9.620067298868156,NA,NA
mollusk,W-Msc-381240,Acrosterigma magnum,NA,381240,2286519,NA,NA,55.548679617544394,NA,NA
mollusk,W-Msc-345690,Acrosterigma profundum,NA,345690,NA,NA,NA,29.370170597089814,NA,NA
mollusk,W-Msc-345691,Acrosterigma punctolineatum,NA,345691,NA,NA,NA,20.7202304737516,NA,NA
mollusk,W-Msc-345693,Acrosterigma simplex,NA,345693,NA,NA,NA,16.719508975712777,NA,NA
